"clone","BLUP_in_vitro_area_L1","BLUP_in_vitro_area_ave","BLUP_in_vitro_area_L2","BLUP_in_vitro_NC_ave","BLUP_in_vitro_NC_L1","BLUP_in_vitro_NC_L2","BLUP_stake_area_ave","BLUP_stake_area_L1","BLUP_stakes_area_L2","BLUP_stake_NC_ave","BLUP_stake_NC_L1","BLUP_stakes_NC_L2"
"AM1588-39",2.1977,1.3289,0.3901,971.87,1533.81,756.81,1.68069,1.72077,1.81296,1556.35,1416.17,1636.53
"AM1588-40",7.9254,6.1412,4.7227,1824.08,2118.36,1351.14,2.6205,2.85597,2.27707,1185.34,1288.72,1151.05
"AM1588-41",2.9037,2.0321,0.7532,1196.03,1707.22,763.8,2.33182,2.40134,2.24932,1679.64,1752.73,1513.78
"AM1588-42",6.746,5.8913,5.0505,2037.19,2189.17,1610.3,3.87379,3.52617,3.75711,2600.19,2360.14,2459.87
"AM1588-43",6.9137,5.1112,3.6653,2044.97,2395.33,1478.89,3.17487,3.58957,2.51505,2120.46,2392.99,1625.29
"AM1588-44",0.9805,0.6651,0.2644,824.13,1486.8,709.51,0.62202,0.83876,0.66017,603.27,755.53,575.93
"AM1588-45",7.7259,8.0956,8.3483,2131.51,1920.68,2012.15,2.74695,2.62495,2.73244,1716.64,1644.32,1681.63
"AM1588-47",2.6575,2.1379,1.7713,1203.6,1496.7,1098.89,1.94055,2.03781,1.94284,1256.27,1388.69,1161.43
"AM1588-48",2.2596,3.3125,3.7576,1180.44,1325.8,1289.16,5.23378,5.13342,4.48749,2837.62,2461.53,2757.92
"AM1588-5",3.5243,3.6519,3.7694,1770.51,1766.92,1652.78,1.76242,2.03378,1.64596,1559.84,1796.18,1270.9
"AM1588-50",5.4585,4.3154,3.2032,1885.34,2168.04,1415.72,1.86622,2.15329,1.70477,1326.6,1454.24,1215
"AM1588-51",2.7727,2.3749,1.9869,1395.74,1650.57,1165.34,0.95145,1.2536,1.03674,791.02,928.35,833.18
"AM1588-52",7.9842,4.5029,1.9946,1457.99,1928.99,973.8,4.42403,4.53551,3.59508,2987.36,2784.88,2607.82
"AM1588-53",2.4626,1.9328,1.439,1250.64,1589.32,1016.39,2.06722,2.16422,2.04396,1666.5,1734.9,1494.57
"AM1588-55",4.0705,3.1029,1.9684,1479.95,1972.07,947.83,1.11892,1.31848,1.25633,915.8,931.49,1038.83
"AM1588-57",3.5399,2.2887,0.6242,1106.6,1634.85,710.85,0.65911,0.93997,0.84869,388.86,564.47,516.16
"AM1588-58",8.1209,6.8626,5.6816,2127.87,2201.81,1672.61,2.24712,2.53993,1.97124,1173.99,1353.01,1058.68
"AM1588-59",8.4384,7.3779,6.3187,3778.04,3425.26,2523.21,1.78215,1.9389,1.77174,1251.47,1272.53,1266.96
"AM1588-6",3.15,2.8223,2.4348,1211.32,1630.93,985.86,1.21927,1.45556,1.2922,791.37,925.22,836.82
"AM1588-60",6.6616,5.8825,5.1869,2381.29,2415,1912.09,2.8448,3.11428,2.34584,1995.96,2152.29,1594.2
"AM1588-62",4.361,3.0921,1.745,1083.91,1545.37,858.31,2.10022,2.08686,2.16467,1143.8,1208.17,1149.76
"AM1588-63",4.3898,2.9873,1.6022,1445.76,1947.69,919.95,1.26564,1.58057,1.24868,826.8,1032.87,790.85
"AM1588-67",8.9004,7.5055,6.2878,2005.43,2161.58,1610.18,2.40272,2.70609,2.05874,1092.74,1230.69,1079.7
"AM1588-69",1.4217,1.0547,0.7623,761.74,1232.97,681.43,1.40446,1.44176,1.54197,992.37,1004.85,1059.14
"AM1588-75",6.875,4.5077,2.5151,1585.02,2013.47,1071.58,2.98039,2.92506,2.8342,2138.87,2051.21,1990.18
"AM1588-77",8.6539,7.1275,5.2166,2202.98,2449.99,1426.53,1.2658,1.59255,1.28886,495.85,675.08,633.73
"AM1588-78",4.5487,3.2016,2.0225,1582.45,1916.16,1183.41,1.65049,2.03128,1.45937,1408.54,1696.13,1115.6
"AM1588-80",5.5111,4.1617,2.978,1923.63,2229.33,1411.97,2.14667,2.34329,1.99322,1635.93,1718.98,1473.64
"AM1588-81",9.2486,8.076,6.7996,2303.82,2415.76,1726.24,1.51054,1.70412,1.63577,814.61,985.86,889.03
"AM1588-83",0.6438,0.5303,0.4228,639.42,1055.23,701.67,0.73995,0.92503,0.86348,628.52,730.23,684.57
"AM1588-84",5.9755,5.4821,4.9766,1501.93,1722.71,1272.94,1.32579,1.71082,1.63546,743.32,1003.35,960.47
"AM1588-85",2.6627,2.1558,1.6269,1382.24,1712.14,1134.85,1.19335,1.53793,1.30226,780.56,987.57,835.03
"AM1588-86",8.5439,7.8834,7.2057,1855.82,1983.74,1516.26,1.23436,1.30069,1.5206,496.69,581.53,726.19
"AM1588-87",4.0481,3.2664,2.3997,1321.77,1708.78,995.3,3.26111,3.45267,2.79411,2325.25,2414.19,1947.13
"AM1588-89",8.2515,7.8613,7.4835,2190.49,2175.02,1800.06,4.34181,4.47745,3.62046,2720.08,2771.95,2257.87
"AM1588-90",7.698,6.1536,4.2906,2611.99,2888.55,1596.03,3.64754,3.76905,3.13837,2450.03,2214.56,2350.99
"AM1588-91",2.4256,1.6143,0.8279,918.34,1439.74,793.77,4.01083,3.68489,3.83386,2733.35,2604.27,2443.97
"AM1588-93",2.3891,2.8407,3.3443,1084.06,1314.03,1092.57,5.10171,4.95611,4.43726,2597.23,2510.95,2307.49
"AM1588-96",5.2039,4.0215,2.7243,2008.33,2453.67,1335.07,1.54714,2.07002,1.24709,1178.27,1444.69,976.21
"AM1588-97",3.0312,2.9213,2.8223,1239.48,1524.93,1155.83,3.14184,2.78893,3.02944,1507.89,1386.32,1552.15
"AM1588-99",5.7475,3.9514,1.5109,1608.68,2191.06,829,0.85066,1.19348,0.99758,560.43,739.5,675.43
